Simulation Complete...
         65697726 function calls (65659680 primitive calls) in 72.016 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.002    0.000 __init__.py:816(__init__)
      161    0.000    0.000    0.001    0.000 sre_compile.py:435(_mk_bitmap)
      568    0.000    0.000    0.001    0.000 inspect.py:2703(replace)
      108    0.000    0.000    0.001    0.000 typing.py:801(__init__)
     2904    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
     1277    0.000    0.000    0.004    0.000 typing.py:515(<genexpr>)
  164/160    0.000    0.000    0.099    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
       56    0.000    0.000    0.007    0.000 typing.py:2267(__new__)
       19    0.000    0.000    0.055    0.003 base.py:1(<module>)
      753    0.000    0.000    0.004    0.000 sre_parse.py:97(closegroup)
     1106    0.000    0.000    0.000    0.000 types.py:176(__get__)
      110    0.000    0.000    0.001    0.000 enum.py:626(_find_new_)
      499    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
     1500    0.000    0.000    0.000    0.000 fromnumeric.py:2333(_sum_dispatcher)
       13    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
    56/15    0.000    0.000    0.002    0.000 typing.py:1046(__getitem__)
       17    0.000    0.000    0.030    0.002 utils.py:1(<module>)
      120    0.000    0.000    0.144    0.001 artist.py:1834(kwdoc)
      345    0.000    0.000    0.003    0.000 typing.py:664(__init__)
      795    0.000    0.000    0.000    0.000 _docscrape.py:91(peek)
      998    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
     2013    0.000    0.000    0.003    0.000 abc.py:117(__instancecheck__)
  396/328    0.000    0.000    0.001    0.000 typing.py:1247(__hash__)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
