time,pos_x,pos_y,pos_z
1.106,0.806102,0.320461,-0.089736
1.108,0.805853,0.321173,-0.089736
1.11,0.8056,0.321883,-0.089736
1.112,0.805343,0.322592,-0.089736
1.114,0.805081,0.323299,-0.089736
1.116,0.804814,0.324004,-0.089736
1.118,0.804543,0.324708,-0.089736
1.12,0.804268,0.32541,-0.089736
1.122,0.803988,0.32611,-0.089736
1.124,0.803704,0.326808,-0.089736
1.126,0.803415,0.327505,-0.089736
1.128,0.803122,0.3282,-0.089736
1.13,0.802825,0.328893,-0.089736
1.132,0.802524,0.329584,-0.089736
1.134,0.802218,0.330273,-0.089736
1.136,0.801907,0.33096,-0.089736
1.138,0.801593,0.331645,-0.089736
1.14,0.801274,0.332328,-0.089736
1.142,0.800951,0.33301,-0.089736
1.144,0.800623,0.333689,-0.089736
1.146,0.800292,0.334366,-0.089736
1.148,0.799956,0.335041,-0.089736
1.15,0.799615,0.335714,-0.089736
1.152,0.799271,0.336385,-0.089736
1.154,0.798922,0.337053,-0.089736
1.156,0.79857,0.337719,-0.089736
1.158,0.798213,0.338384,-0.089736
1.16,0.797851,0.339045,-0.089736
1.162,0.797486,0.339705,-0.089736
1.164,0.797117,0.340362,-0.089736
1.166,0.796743,0.341017,-0.089736
1.168,0.796365,0.34167,-0.089736
1.17,0.795984,0.34232,-0.089736
1.172,0.795598,0.342968,-0.089736
1.174,0.795208,0.343613,-0.089736
1.176,0.794814,0.344256,-0.089736
1.178,0.794416,0.344896,-0.089736
1.18,0.794014,0.345534,-0.089736
1.182,0.793608,0.346169,-0.089736
1.184,0.793198,0.346802,-0.089736
1.186,0.792784,0.347432,-0.089736
1.188,0.792366,0.34806,-0.089736
1.19,0.791944,0.348685,-0.089736
1.192,0.791518,0.349307,-0.089736
1.194,0.791089,0.349927,-0.089736
1.196,0.790655,0.350544,-0.089736
1.198,0.790218,0.351158,-0.089736
1.2,0.789777,0.351769,-0.089736
1.202,0.789332,0.352378,-0.089736
1.204,0.788883,0.352984,-0.089736
1.206,0.78843,0.353586,-0.089736
1.208,0.787973,0.354187,-0.089736
1.21,0.787513,0.354784,-0.089736
1.212,0.787049,0.355378,-0.089736
1.214,0.786581,0.355969,-0.089736
1.216,0.78611,0.356558,-0.089736
1.218,0.785635,0.357143,-0.089736
1.22,0.785156,0.357726,-0.089736
1.222,0.784674,0.358305,-0.089736
1.224,0.784188,0.358882,-0.089736
1.226,0.783698,0.359455,-0.089736
1.228,0.783205,0.360025,-0.089736
1.23,0.782708,0.360592,-0.089736
1.232,0.782208,0.361156,-0.089736
1.234,0.781704,0.361717,-0.089736
1.236,0.781196,0.362275,-0.089736
1.238,0.780685,0.362829,-0.089736
1.24,0.780171,0.363381,-0.089736
1.242,0.779653,0.363929,-0.089736
1.244,0.779132,0.364473,-0.089736
1.246,0.778607,0.365015,-0.089736
1.248,0.778079,0.365553,-0.089736
1.25,0.777547,0.366088,-0.089736
1.252,0.777013,0.366619,-0.089736
